,sentiment,tweets
0,0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
1,0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
2,0,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
3,0,my whole body feels itchy and like its on fire 
4,0,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
5,0,@Kwesidei not the whole crew 
6,0,Need a hug 
7,0,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
8,0,@Tatiana_K nope they didn't have it 
9,0,@twittera que me muera ? 
10,0,spring break in plain city... it's snowing 
11,0,I just re-pierced my ears 
12,0,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
13,0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
14,0,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
15,0,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
16,0,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
17,0,about to file taxes 
18,0,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
19,0,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
20,0,@alydesigns i was out most of the day so didn't get much done 
21,0,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
22,0,@angry_barista I baked you a cake but I ated it 
23,0,this week is not going as i had hoped 
24,0,blagh class at 8 tomorrow 
25,0,I hate when I have to call and wake people up 
26,0,Just going to cry myself to sleep after watching Marley and Me.  
27,0,im sad now  Miss.Lilly
28,0,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
29,0,Meh... Almost Lover is the exception... this track gets me depressed every time. 
30,0,some1 hacked my account on aim  now i have to make a new one
31,0,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
32,0,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
33,0,@julieebaby awe i love you too!!!! 1 am here  i miss you
34,0,@HumpNinja I cry my asian eyes to sleep at night 
35,0,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
36,0,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
37,0,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
38,0,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
39,0,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
40,0,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
41,0,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
42,0,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
43,0,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
44,0,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
45,0,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
46,0,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
47,0,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
48,0,is strangely sad about LiLo and SamRo breaking up. 
49,0,@tea oh! i'm so sorry  i didn't think about that before retweeting.
50,0,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
51,0,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
52,0,our duck and chicken are taking wayyy too long to hatch 
53,0,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
54,0,I need a hug 
55,0,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
56,0,@oanhLove I hate when that happens... 
57,0,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
58,0,Ugh....92 degrees tomorrow 
59,0,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
60,0,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
61,0,just leaving the parking lot of work! 
62,0,The Life is cool. But not for Me. 
63,0,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
64,0,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
65,0,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
66,0,Damm back to school tomorrow 
67,0,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
68,0,@katortiz  Not forever... See you soon!
69,0,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
70,0,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
71,0,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
72,0,i really hate how people diss my bands!  Trace is clearly NOT ugly!
73,0,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
74,0,Why won't you show my location?!   http://twitpic.com/2y2es
75,0,No picnic  my phone smells like citrus.
76,0,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
77,0,No new csi tonight.  FML
78,0,i think my arms are sore from tennis 
79,0,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
80,0,sleep soon... i just hate saying bye and see you tomorrow for the night. 
81,0,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
82,0,missin' the boo 
83,0,@markhardy1974 Me too  #itm
84,0,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
85,0,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
86,0,@msdrama hey missed ya at the meeting  sup mama
87,0,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
88,0,why is it always the fat ones?! 
89,0,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
90,0,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
91,0,wednesday my b-day! don't know what 2 do!! 
92,0,Poor cameron (the hills) 
93,0,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
94,0,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
95,0,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
96,0,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
97,0,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
98,0,"@stark YOU don't follow me, either  and i work for you!"
99,0,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
100,0, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
101,0,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
102,0,Behind on my classes for work 
103,0,watching &quot;House&quot; 
104,0,@kpreyes Remember my bum leg? Strikes back this time its serious 
105,0,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
106,0,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
