,created_at,tweets,location
0,2019-05-02 08:00:38,brt trinityresists 811nrussia is interfering w the 2020 trumpgop has done nothing to prevent election fraudxe2x80x94they have done the oppositexe2x80xa6,"b'Amsterdam, Nederland'"
1,2019-05-02 08:00:28,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,"b'Pennsylvania, USA'"
2,2019-05-02 08:00:28,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b''
3,2019-05-02 08:00:22,brt citizentommy guy verhofstadt is an mep from belgium and leader of the socalled alliance of liberals and democrats how dare he promotxe2x80xa6,b'Perth'
4,2019-05-02 08:00:20,brt speakerpelosi today the gopxe2x80x99s cruel assault on americansxe2x80x99 health care continued in the courts while the trump doj tries to strike doxe2x80xa6,"b'Texas, USA'"
5,2019-05-02 08:00:20,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b''
6,2019-05-02 08:00:16,bnow that democrats are being investigated by barr anytime they call for the resignation of anybody in the executive branch of trumps government that is obstruction of justice according to the democrats,b''
7,2019-05-02 08:00:14,brt teapainusa republicans never let facts get in the way of a good storynnurl,b''
8,2019-05-02 08:00:13,bthe dirty poll done by abc washingtonpost is a synth even they admit that everyday more democrats were polled other polls were good hipster trump,b''
9,2019-05-02 08:00:12,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'United States'
10,2019-05-02 08:00:06,bas trump vows subpoena fights democrats weigh their options url url,"b'Houston,TX'"
11,2019-05-02 08:00:05,bhillary clinton pitches a hypothetical china if youre listening why dont you get trumps tax returns url,b'United States'
12,2019-05-02 08:00:03,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,"b'Advance, NC'"
13,2019-05-02 08:00:02,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'California, USA'"
14,2019-05-02 07:59:58,bhouse democrats denounce trump suit to block subpoena of financial records as threat to congressional oversight url,b'Planet Earth'
15,2019-05-02 07:59:56,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'Washington, USA'"
16,2019-05-02 07:59:52,brt essenviews trump criticizes democrats treatment of william barr praises ags fantastic performance he did a fantastic job todayxe2x80xa6,b'Everywhere'
17,2019-05-02 07:59:51,bmichaeldweiss basically you are admitting what many democrats dont yet that she lost because she didnt campaign good enough and not because trump collided not even she ie hillary is sure anymore of that,b''
18,2019-05-02 07:59:48,brt mitchellvii it almost feels as if the trump admin is baiting the democrats into impeaching him just before he and barr and horowitz uxe2x80xa6,"b'Advance, NC'"
19,2019-05-02 07:59:46,brt amyklobuchar the white house made calls to stop the secure elections act from moving forward last year this is more of the same despxe2x80xa6,b'California'
20,2019-05-02 07:59:44,brt emmavigeland bidens campaign message is basically vote for me because trump is badnnits a nightmarish case of dxc3xa9jxc3xa0 vu are we goxe2x80xa6,b''
21,2019-05-02 07:59:39,bamyklobuchar sadly we know the answer to sen klobucharxe2x80x99s question republicans are standing with trump and russians now and will comtinue to do so in 2020 elections why eljse would they have blocked bipartisan legislation to harden our election infrastructureindicttrump indictbarr,b'New York'
22,2019-05-02 07:59:37,brt acnewsitics its fun to watch trump supporters cry about staff lawyers questioning barr when republicans recently flew a prosecutor toxe2x80xa6,"b'California, USA'"
23,2019-05-02 07:59:34,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b''
24,2019-05-02 07:59:33,brt charliekirk11 227 democratsxe2x80x94nearly all of them voted to allow illegal aliens to vote in our electionsnnmeanwhile they all support thxe2x80xa6,b''
25,2019-05-02 07:59:32,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
26,2019-05-02 07:59:30,bhillary clinton pitches a hypothetical china if youre listening why dont you get trumps tax returns url via usatoday,"b'Santa Cruz, Ca'"
27,2019-05-02 07:59:29,brt urielmahdi first robert mueller rebuked barr for his summary of the russia probe then trumpxe2x80x99s attorney general played dumb in fronxe2x80xa6,"b'Los Angeles, CA'"
28,2019-05-02 07:59:29,brt amy_siskind stop talking and start doing donxe2x80x99t let trump and his lawless regime get away with eroding our democracy you took an oaxe2x80xa6,b'Australia'
29,2019-05-02 07:59:26,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,"b'Paradise Hills, San Diego'"
30,2019-05-02 07:59:12,brt tomiahonen realdonaldtrump so mr trumpnthe staffers in white house republicans you hired say you only comprehend at 5th grade levxe2x80xa6,"b'London, England'"
31,2019-05-02 07:59:08,bhillary clinton pitches a hypothetical china if youre listening why dont you get trumps tax returns usa today url,b''
32,2019-05-02 07:59:06,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'United States'
33,2019-05-02 07:59:03,brt johncardillo bidenxe2x80x99s son his dishonorable discharge for cocaine use and his leaving his wife and kids for his brotherxe2x80x99s widow are alxe2x80xa6,"b'Alaska, USA'"
34,2019-05-02 07:59:03,brt charliekirk11 227 democratsxe2x80x94nearly all of them voted to allow illegal aliens to vote in our electionsnnmeanwhile they all support thxe2x80xa6,b''
35,2019-05-02 07:59:01,brt amy_siskind clearly william barr has forgotten his is the top lawyer for the people not trumpnand so have republicans forgotten theyxe2x80xa6,b''
36,2019-05-02 07:58:54,bcnni when cnn reports that america attempted a coupdxe2x80x99xc3xa9tat to illegally remove the duly elected president maduro but is dead silent about the coupdxe2x80x99xc3xa9tat that the democrats put together to remove our duly elected president trump you know you are dealing with fake news url,b'In The Spirit'
37,2019-05-02 07:58:52,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b'United States'
38,2019-05-02 07:58:52,brt mitchellvii it almost feels as if the trump admin is baiting the democrats into impeaching him just before he and barr and horowitz uxe2x80xa6,"b'Oklahoma, USA'"
39,2019-05-02 07:58:48,bpsychdr100 the republicans under trump brings to mind a tyranny that will use every angle to eventually let the poor disabled die and only want ppl that will be productive working under the oligarchy a horrible thought but history has shown some ppl have supported this in the past ussr,"b'Texas, USA, part time Canada'"
40,2019-05-02 07:58:39,bwell this was always inevitable bear this in mind when cutting today although local elections have piss all to do with national policy and should probably url,b'Halifax'
41,2019-05-02 07:58:39,bwhere the hell have these media dummies been nthe russians have been trying to influence our elections since the 50xe2x80x99snrussian collusion was just a coverup for the democrats espionage operation against the trump campaign ndemocrats should lawyer up ag barr is coming for them url,"b'New York, NY'"
42,2019-05-02 07:58:34,brt charliekirk11 rt if you are loving ag barr teach basic law to political democrats who hate trump more than they love america,b'United States'
43,2019-05-02 07:58:33,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b''
44,2019-05-02 07:58:26,brt johncardillo bidenxe2x80x99s son his dishonorable discharge for cocaine use and his leaving his wife and kids for his brotherxe2x80x99s widow are alxe2x80xa6,b'USA '
45,2019-05-02 07:58:22,brt sethabramson 2 if these men are to be taken literally the only next step the democrats can take is to impeach barr so that either evxe2x80xa6,"b'London, England'"
46,2019-05-02 07:58:19,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
47,2019-05-02 07:58:15,bwhen cnn reports that america attempted a coupdxe2x80x99xc3xa9tat to illegally remove the duly elected president maduro but is dead silent about the coupdxe2x80x99xc3xa9tat that the democrats put together to remove our duly elected president trump you know you are dealing with fake news url,b'In The Spirit'
48,2019-05-02 07:58:11,brt palmerreport deutsche bank has donald trumpxe2x80x99s tax returns and is handing them over to house democrats url,b'USA'
49,2019-05-02 07:58:11,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,"b'Illinois, USA'"
50,2019-05-02 07:58:07,brt chrismccorkle13 aslavitt you trump and the gop donxe2x80x99t make this politically crippling moveunless you thinkbelieve that there ixe2x80xa6,"b'Greenville, SC'"
51,2019-05-02 07:58:04,bitxe2x80x99s insanity and it has to stop xf0x9fxa4xaa nnthe people who believe the democrats amp msm are making bad choices for themselves and others putting lives in jeopardy nnand the deaths theyxe2x80x99re blaming on president trump are really tied back to the lies democrats amp msm tell america daily url,b'The Real America'
52,2019-05-02 07:57:57,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b''
53,2019-05-02 07:57:54,brt charliekirk11 rt if you are loving ag barr teach basic law to political democrats who hate trump more than they love america,b'indiana'
54,2019-05-02 07:57:53,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b''
55,2019-05-02 07:57:47,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,"b'Earth, Home of the Gerrymander'"
56,2019-05-02 07:57:45,brt krassenstein how can any american not be calling for the impeachment of both barr and trump right nownnthis is unbelievablennhttpsxe2x80xa6,"b'West Region, Singapore'"
57,2019-05-02 07:57:26,brt vin_roger house democrats consider holding barr in contempt of congress if he does not comply with requests they should hold barr ixe2x80xa6,"b'Los Angeles, CA'"
58,2019-05-02 07:57:25,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b'Nigeria'
59,2019-05-02 07:57:24,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b'NYC & Virginia'
60,2019-05-02 07:57:22,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'In a piece of paradise, europe'"
61,2019-05-02 07:57:20,bthehill for liberals the adults are in the room so shut up the economy is at its highest levels more jobs than people unemployment record lows the mueller report settles the russian collusion lies presented by the democrats hardworking americans are taking back the usa trump wins,b''
62,2019-05-02 07:57:19,brt mikelevinca congressional republicans used every last bit of their oversight power to demand the release of sensitive documents from txe2x80xa6,b''
63,2019-05-02 07:57:10,brt thedailybeast thatxe2x80x99s it democrats writes therickwilson put just one trump minion in jail for contempt and youxe2x80x99ll show that youxe2x80xa6,b'New York city'
64,2019-05-02 07:57:07,bgood morning americans these democrats cant stop crying about trump and the russian collusion saying we got fucked well thats the best fucking russia ever gave us because we got more jobs than ever and pay went up n everyone is happy except hillary lol,b'deepest nj'
65,2019-05-02 07:57:02,brt ryanafournier itxe2x80x99s another beautiful day in americannthe democrats are still whining and president trump is still winning xf0x9fx87xbaxf0x9fx87xb8,b''
66,2019-05-02 07:57:02,brt pujamehra political parties are spending 86 bn on the 2019 election campaign twice that in 2014 and more than the 65 bn spent inxe2x80xa6,b'New Delhi'
67,2019-05-02 07:57:02,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b''
68,2019-05-02 07:57:00,brt krassenstein how can any american not be calling for the impeachment of both barr and trump right nownnthis is unbelievablennhttpsxe2x80xa6,"b'#Tinonee, NSW, Oz'"
69,2019-05-02 07:56:59,brt gop for the past two years democrats lied to the american people about the trumprussia collusion narrative n ntodayxe2x80x99s hearing madexe2x80xa6,b''
70,2019-05-02 07:56:57,battorney general william barr cancels second day of testimony further inflaming tensions between us president donald trump and democrats in congress url via andysullivan sarahnlynch url,b'Thailand'
71,2019-05-02 07:56:56,bpolitico democrats fearing their reelectability they all knew who he was he fucking applied for the job with a memo he sent trump on obstruction of justice,"b'Tucson, AZ'"
72,2019-05-02 07:56:56,brt automotivefleet trump democrats agree to push for xe2x80x98big and boldxe2x80x99 infrastructure plan url url,b''
73,2019-05-02 07:56:54,bmcforgod chriscoons the republicans hired steele during the primaries and paid him then after trump won the primary steele shopped it around to the dems,"b'43.271191,-79.862794'"
74,2019-05-02 07:56:52,brt funder breaking senator tillis just admitted he has not read the entire mueller report graham also said he hasnxe2x80x99t read the whole repxe2x80xa6,"b'Northwich,  UK'"
75,2019-05-02 07:56:50,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b''
76,2019-05-02 07:56:49,brt ryanafournier itxe2x80x99s another beautiful day in americannthe democrats are still whining and president trump is still winning xf0x9fx87xbaxf0x9fx87xb8,"b'New Mexico, USA'"
77,2019-05-02 07:56:48,brt krassenstein retweet if you are a democrat and dont believe in killing born babies unlike what fox news trump and most republicansxe2x80xa6,b''
78,2019-05-02 07:56:46,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b'My Own Private Jungle'
79,2019-05-02 07:56:37,brt charliekirk11 rt if you are loving ag barr teach basic law to political democrats who hate trump more than they love america,b''
80,2019-05-02 07:56:34,bgop johncornyn had obama interfered in 2016 trump would had claimed bias on the side of the president amp democrats the evidence to stop investigate amp evaluate intelligence unlike barr had protocol gop follows 5 dacade long nazi style propaganda tactic lie cause fear mislead amp redirect url,b''
81,2019-05-02 07:56:33,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'PA, USA'"
82,2019-05-02 07:56:31,brt krassenstein breaking the irs just missed their deadline to turn over trumps tax returns to congress nndemocrats its now time txe2x80xa6,"b'Tupelo, MS'"
83,2019-05-02 07:56:25,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'Istanbul, Turkey'"
84,2019-05-02 07:56:22,brt safetypindaily congressional democrats notch win in emoluments suit against trump via politico url,b' Earth'
85,2019-05-02 07:56:20,bpatrickesque ronfromsandiego and because he has pushed policies that has disproportionately hurt minorities and pandered to racists never trump republicans often boost dem candidates who pander to racists and are not strong on race issues,b''
86,2019-05-02 07:56:15,brt safetypindaily congressional democrats notch win in emoluments suit against trump via politico url,b''
87,2019-05-02 07:56:14,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b''
88,2019-05-02 07:56:08,brt thedailybeast thatxe2x80x99s it democrats writes therickwilson put just one trump minion in jail for contempt and youxe2x80x99ll show that youxe2x80xa6,b'Florida'
89,2019-05-02 07:56:07,bcharliekirk11 realdonaldtrump obama did nothing about russia in the election and they say its trump lol what party ignores russia interfering with our elections allows illegals to cross our border tries to make it okay for illegals to vote oh democrats thats right,"b'Ohio, USA'"
90,2019-05-02 07:56:06,brt randyebarnett william barr is exactly the kind of republican that democrats say they respect yet when he doesnxe2x80x99t do exactly what theyxe2x80xa6,b''
91,2019-05-02 07:56:05,brt randyebarnett william barr is exactly the kind of republican that democrats say they respect yet when he doesnxe2x80x99t do exactly what theyxe2x80xa6,b''
92,2019-05-02 07:56:04,brt trumpwarroom democrats in congress say their sole focus is making sure president trump does not win reelection nnno wonder theyxe2x80xa6,"b'Illinois, USA'"
93,2019-05-02 07:56:02,brt trumpwarroom democrats in congress say their sole focus is making sure president trump does not win reelection nnno wonder theyxe2x80xa6,"b'Livingston, CA'"
94,2019-05-02 07:56:02,brt lrihendry realdonaldtrump seanhannity democrats amp msm want to keep the phony trump narrative alive demonizing president trump,b'USA'
95,2019-05-02 07:56:00,brt zachdcarter if trumpxe2x80x99s 2016 victory canxe2x80x99t get democrats to rethink bill clintonxe2x80x99s trade agenda nothing cannneconomists now generallyxe2x80xa6,"b'World Famous Las Vegas, Nevada'"
96,2019-05-02 07:55:53,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b''
97,2019-05-02 07:55:52,brt tvietor08 trump wants a debate about ending birthright citizenship more than actually doing it democrats should say ok see you in coxe2x80xa6,"b'Pompano Beach, FL'"
98,2019-05-02 07:55:47,bsarah sanders says william barr is serving trump honorably and democrats disgrace and humiliate themselves url,"b'Qui Nh\xc6\xa1n,B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh, Vi\xe1\xbb\x87t Nam'"
99,2019-05-02 07:55:40,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
100,2019-05-02 07:55:38,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b'Portland & San Francisco'
101,2019-05-02 07:55:30,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b'Metro NY'
102,2019-05-02 07:55:25,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'United States'
103,2019-05-02 07:55:19,bhouse democrats now subpoenaing trumpamp8217s grandkidsamp8217 records lawsuit url,"b'Kentucky, USA'"
